"OverTime","BusinessTravel","Education","EnvSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","RelatSatisfaction","StockOptionLevel","WorkLifeBalance","Department","EducationField","JobRole","MaritalStatus","Age","DistanceFromHome","MonthlyIncome","NumCompaniesWorked","TotalWorkingYears","YearsAtCompany","YearsInCurrentRole","YearsWithCurrManager","Attrition"
"No","Rarely","Master","Medium","High","Intermediate","Medium","Low","Few stocks","Better","Sales","Marketing","Sales Exe.","Married",27,8,6214,1,8,8,7,7,"No"
"No","Rarely","College","Very High","High","Intermediate","Very High","High","Medium stocks","Good","R&D","Medical","Manuf. Dir.","Divorced",37,5,6347,7,8,6,2,4,"No"
"Yes","Rarely","College","High","Medium","Experienced","Very High","Medium","Few stocks","Better","R&D","Life Sciences","Res. Dir.","Divorced",38,15,11510,0,12,11,10,9,"No"
"Yes","Rarely","Master","High","High","Experienced","Very High","High","No stock","Good","R&D","Medical","Manuf. Dir.","Single",31,7,7143,1,11,11,9,10,"No"
"Yes","Rarely","Below College","Very High","Medium","Intermediate","Medium","Low","Medium stocks","Better","Sales","Marketing","Sales Exe.","Divorced",29,10,8268,1,7,7,7,7,"No"
"No","Rarely","Master","High","High","Experienced","Medium","Very High","No stock","Better","R&D","Technical","Manuf. Dir.","Single",35,5,8095,0,17,16,6,13,"No"
"No","Rarely","Below College","High","High","Entry","Very High","High","Medium stocks","Good","R&D","Life Sciences","Res. Sci.","Divorced",23,26,2904,1,4,4,2,2,"No"
"Yes","Rarely","Bachelor","Very High","Medium","Intermediate","Medium","Very High","No stock","Better","R&D","Medical","Manuf. Dir.","Single",41,6,6032,6,8,5,4,2,"No"
"No","Frequently","Below College","Medium","High","Intermediate","High","Low","No stock","Better","Sales","Medical","Sales Repr.","Single",47,4,2976,3,5,0,0,0,"No"
"No","Rarely","Doctor","Low","High","Advanced","Very High","Medium","No stock","Better","R&D","Life Sciences","Res. Dir.","Single",42,23,15992,2,16,1,0,0,"No"
"No","Never","Bachelor","Very High","High","Intermediate","High","Low","Few stocks","Good","Sales","Life Sciences","Sales Exe.","Married",29,2,4649,1,4,4,3,2,"No"
"Yes","Rarely","Below College","High","High","Entry","High","High","Few stocks","Better","HR","Technical","HR","Divorced",42,2,2696,0,4,3,2,0,"No"
"No","Rarely","Bachelor","High","High","Entry","Medium","High","Few stocks","Better","R&D","Medical","Lab. Tech.","Married",32,2,2370,1,8,8,0,7,"No"
"No","Rarely","Below College","Low","High","Experienced","High","Medium","Few stocks","Bad","Sales","Medical","Manager","Married",48,29,12504,3,15,0,0,0,"No"
"Yes","Rarely","Bachelor","High","Very High","Intermediate","Low","Low","Medium stocks","Better","R&D","Medical","Res. Sci.","Divorced",37,6,5974,4,13,7,7,7,"No"
"Yes","Never","College","Very High","High","Intermediate","High","Medium","Few stocks","Best","Sales","Technical","Sales Exe.","Married",30,25,4736,7,4,2,2,2,"No"
"No","Rarely","Bachelor","High","High","Intermediate","High","Medium","Few stocks","Better","Sales","Life Sciences","Sales Exe.","Married",26,1,5296,1,8,8,7,7,"No"
"No","Rarely","Master","Low","Medium","Intermediate","Very High","Medium","No stock","Better","R&D","Other","Health. Repr.","Single",42,2,6781,3,14,1,0,0,"No"
"Yes","Frequently","Below College","Low","Medium","Entry","Medium","High","No stock","Better","Sales","Technical","Sales Repr.","Single",21,1,2174,1,3,3,2,2,"Yes"
"No","Never","Doctor","Very High","High","Intermediate","Very High","Medium","No stock","Better","Sales","Medical","Sales Exe.","Single",36,1,6653,4,7,1,0,0,"No"
"No","Frequently","Master","Low","Medium","Experienced","Very High","Low","Few stocks","Better","Sales","Medical","Sales Exe.","Married",36,3,9699,4,16,13,9,12,"No"
"No","Rarely","Master","Very High","High","Intermediate","High","High","No stock","Better","R&D","Medical","Health. Repr.","Married",57,1,6755,2,15,3,2,2,"No"
"Yes","Rarely","Master","Very High","Very High","Entry","High","High","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",40,10,2213,3,10,7,7,7,"No"
"No","Never","College","Low","High","Entry","Very High","High","No stock","Good","Sales","Medical","Sales Repr.","Single",21,9,2610,1,3,3,2,2,"No"
"Yes","Rarely","Bachelor","Very High","High","Entry","High","Medium","No stock","Better","Sales","Marketing","Sales Repr.","Single",33,5,2851,1,1,1,0,0,"Yes"
"No","Rarely","Bachelor","High","High","Entry","Low","Medium","Few stocks","Better","R&D","Medical","Lab. Tech.","Married",37,10,3452,6,17,5,4,3,"No"
"No","Never","Master","High","High","Intermediate","High","High","No stock","Best","R&D","Medical","Manuf. Dir.","Married",46,7,5258,2,7,1,0,0,"No"
"No","Frequently","Bachelor","Low","High","Intermediate","Medium","High","No stock","Better","Sales","Marketing","Sales Exe.","Single",41,4,9355,1,8,8,7,7,"Yes"
"No","Rarely","Bachelor","Very High","Medium","Experienced","Very High","Very High","No stock","Better","R&D","Technical","Health. Repr.","Single",50,10,10496,6,20,4,3,3,"No"
"Yes","Rarely","College","High","Medium","Intermediate","High","Low","Medium stocks","Better","Sales","Marketing","Sales Exe.","Married",40,22,6380,2,8,6,4,0,"Yes"
"Yes","Rarely","Master","High","Medium","Entry","Medium","Very High","No stock","Better","R&D","Life Sciences","Res. Sci.","Single",31,9,2657,0,3,2,2,2,"No"
"No","Rarely","Bachelor","High","Very High","Entry","Medium","Very High","No stock","Better","Sales","Life Sciences","Sales Repr.","Single",21,12,2716,1,1,1,0,0,"Yes"
"No","Rarely","Bachelor","Very High","High","Entry","Very High","Very High","No stock","Better","R&D","Life Sciences","Res. Sci.","Single",29,23,2201,9,6,3,2,2,"No"
"No","Rarely","Master","High","Medium","Intermediate","Medium","High","No stock","Better","R&D","Life Sciences","Health. Repr.","Single",35,9,6540,9,10,1,1,0,"No"
"No","Rarely","College","Very High","High","Entry","Medium","Medium","Few stocks","Better","R&D","Medical","Lab. Tech.","Divorced",27,1,3816,1,5,5,2,4,"No"
"No","Rarely","Master","Medium","High","Intermediate","Very High","Very High","No stock","Better","Sales","Life Sciences","Sales Exe.","Single",28,9,5253,1,7,7,5,7,"No"
"No","Rarely","Bachelor","Medium","Medium","Experienced","High","High","No stock","Better","R&D","Other","Health. Repr.","Single",49,7,10965,8,26,5,2,0,"No"
"No","Rarely","College","High","High","Intermediate","Very High","High","Few stocks","Good","Sales","Life Sciences","Sales Exe.","Married",51,14,4936,4,18,7,7,7,"No"
"No","Rarely","Bachelor","Very High","High","Entry","High","Medium","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Married",36,2,2543,4,6,2,2,2,"No"
"Yes","Never","Bachelor","Low","Very High","Intermediate","Very High","Medium","No stock","Good","Sales","Marketing","Sales Exe.","Single",34,19,5304,8,9,5,2,4,"Yes"
"Yes","Rarely","Bachelor","High","High","Advanced","Very High","High","No stock","Better","R&D","Life Sciences","Manager","Single",55,2,16659,2,30,5,4,2,"No"
"Yes","Rarely","Master","Very High","High","Intermediate","High","Very High","Few stocks","Best","Sales","Marketing","Sales Exe.","Divorced",24,10,4260,1,5,5,2,3,"No"
"No","Rarely","Below College","High","High","Entry","Medium","Low","Few stocks","Better","Sales","Technical","Sales Repr.","Married",30,2,2476,1,1,1,0,0,"No"
"No","Frequently","Below College","High","High","Entry","Low","High","No stock","Better","R&D","Technical","Res. Sci.","Single",26,3,3102,0,7,6,4,4,"Yes"
"No","Rarely","Bachelor","Low","High","Entry","Medium","Very High","Few stocks","Better","R&D","Medical","Res. Sci.","Married",22,11,2244,1,2,2,1,2,"No"
"No","Rarely","College","Medium","Medium","Experienced","High","Medium","Medium stocks","Better","Sales","Medical","Sales Exe.","Married",36,2,7596,1,10,10,9,0,"No"
"Yes","Frequently","Bachelor","High","High","Entry","Very High","High","No stock","Better","R&D","Technical","Res. Sci.","Single",30,4,2285,9,3,1,0,0,"Yes"
"No","Rarely","Bachelor","Very High","High","Entry","Low","High","Few stocks","Good","R&D","Life Sciences","Lab. Tech.","Divorced",37,14,3034,1,18,18,7,17,"No"
"No","Rarely","College","Very High","High","Intermediate","Medium","High","Medium stocks","Better","Sales","Marketing","Sales Exe.","Divorced",40,2,5715,7,8,5,4,3,"No"
"No","Rarely","Master","Medium","High","Entry","Low","Medium","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Divorced",42,1,2576,3,8,5,2,2,"No"
"Yes","Rarely","Master","High","High","Intermediate","Medium","Very High","No stock","Good","R&D","Life Sciences","Manuf. Dir.","Single",37,10,4197,2,18,1,0,1,"No"
"No","Rarely","Bachelor","Low","Medium","Advanced","Medium","High","Few stocks","Better","R&D","Life Sciences","Res. Dir.","Divorced",43,12,14336,1,25,25,10,9,"No"
"No","Rarely","Bachelor","Medium","Medium","Intermediate","High","Medium","Few stocks","Better","R&D","Medical","Lab. Tech.","Married",40,2,3448,6,20,1,0,0,"No"
"No","Rarely","College","Low","High","Expert","Low","High","Few stocks","Good","R&D","Medical","Res. Dir.","Married",54,5,19406,4,24,4,2,2,"No"
"No","Never","Master","High","High","Intermediate","High","Low","Few stocks","Better","Sales","Marketing","Sales Exe.","Married",34,4,6538,9,6,3,2,2,"No"
"No","Rarely","College","Medium","High","Intermediate","Low","Medium","Few stocks","Bad","R&D","Medical","Manuf. Dir.","Married",31,7,4306,1,13,13,10,12,"No"
"No","Frequently","Bachelor","Very High","High","Entry","Very High","Low","Few stocks","Better","R&D","Medical","Lab. Tech.","Married",43,21,2258,7,8,3,2,2,"No"
"Yes","Rarely","Master","High","High","Intermediate","High","Very High","No stock","Better","R&D","Other","Health. Repr.","Divorced",43,8,4522,4,8,5,2,2,"No"
"Yes","Rarely","College","Medium","Medium","Intermediate","Very High","Medium","No stock","Better","Sales","Life Sciences","Sales Exe.","Single",25,4,4487,1,5,5,4,3,"No"
"Yes","Never","Doctor","Medium","High","Intermediate","High","Low","Medium stocks","Better","R&D","Medical","Res. Sci.","Married",37,25,4449,3,15,13,11,7,"No"
"No","Rarely","College","Very High","Medium","Entry","Low","High","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",31,1,2218,1,4,4,2,2,"No"
"Yes","Frequently","Below College","Medium","High","Expert","High","High","Few stocks","Better","R&D","Life Sciences","Manager","Divorced",39,1,19197,1,21,21,8,6,"No"
"No","Frequently","Bachelor","High","Very High","Advanced","Low","Very High","Many stocks","Good","Sales","Life Sciences","Sales Exe.","Married",56,6,13212,9,36,7,7,7,"No"
"No","Rarely","Bachelor","Medium","High","Intermediate","High","Medium","No stock","Better","Sales","Technical","Sales Exe.","Single",30,12,6577,0,6,5,4,4,"No"
"No","Rarely","Bachelor","Medium","Very High","Experienced","Low","High","Few stocks","Better","Sales","Marketing","Sales Exe.","Married",41,1,8392,1,10,10,7,7,"No"
"No","Rarely","College","High","High","Intermediate","Low","Very High","Few stocks","Better","R&D","Medical","Lab. Tech.","Divorced",28,17,4558,1,10,10,0,8,"No"
"No","Rarely","Bachelor","Low","High","Entry","Low","High","Few stocks","Better","R&D","Medical","Lab. Tech.","Married",25,3,4031,5,6,2,2,2,"Yes"
"Yes","Rarely","Bachelor","Very High","Medium","Experienced","High","High","No stock","Better","R&D","Medical","Manuf. Dir.","Married",52,3,7969,2,28,5,4,4,"No"
"No","Rarely","College","Low","High","Entry","Very High","Very High","Medium stocks","Good","R&D","Life Sciences","Res. Sci.","Married",45,10,2654,3,8,2,2,2,"No"
"No","Rarely","College","Very High","High","Advanced","Very High","Very High","No stock","Bad","R&D","Life Sciences","Manager","Married",52,4,16555,2,31,5,2,4,"No"
"No","Frequently","College","Low","High","Intermediate","High","Medium","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Divorced",42,29,4556,2,19,5,4,2,"No"
"No","Rarely","Bachelor","High","Low","Intermediate","Very High","High","No stock","Better","R&D","Life Sciences","Manuf. Dir.","Single",30,2,6091,2,11,5,4,2,"No"
"No","Rarely","Bachelor","Low","High","Expert","Low","Very High","No stock","Bad","R&D","Life Sciences","Manager","Married",60,7,19566,5,33,29,8,10,"No"
"No","Rarely","Bachelor","High","High","Intermediate","High","High","Few stocks","Good","R&D","Medical","Manuf. Dir.","Divorced",46,18,4810,2,19,10,7,8,"No"
"No","Frequently","Master","Very High","Medium","Intermediate","Very High","Very High","Many stocks","Best","R&D","Technical","Health. Repr.","Married",42,28,4523,0,7,6,5,4,"No"
"Yes","Rarely","Below College","Low","High","Entry","Medium","Medium","No stock","Better","Sales","Technical","Sales Repr.","Single",24,1,3202,1,6,5,3,4,"Yes"
"No","Frequently","College","Very High","Low","Entry","High","Very High","Few stocks","Good","Sales","Marketing","Sales Repr.","Divorced",34,6,2351,0,3,2,2,0,"Yes"
"Yes","Frequently","College","Very High","High","Entry","Very High","High","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",38,2,1702,1,1,1,0,0,"No"
"No","Rarely","Master","High","High","Expert","High","Very High","No stock","Better","Sales","Life Sciences","Manager","Married",40,2,18041,0,21,20,15,12,"No"
"No","Rarely","Bachelor","Low","High","Entry","Very High","Medium","Medium stocks","Bad","R&D","Life Sciences","Res. Sci.","Divorced",26,23,2886,1,3,3,2,2,"No"
"No","Never","Bachelor","High","High","Entry","Very High","High","Few stocks","Bad","R&D","Life Sciences","Lab. Tech.","Married",30,3,2097,4,9,5,3,4,"No"
"No","Rarely","Master","Medium","Medium","Experienced","High","High","No stock","Better","R&D","Medical","Res. Dir.","Married",29,3,11935,1,10,10,2,7,"No"
"No","Rarely","Doctor","High","Medium","Entry","Medium","Medium","No stock","Best","R&D","Technical","Res. Sci.","Married",29,25,2546,5,6,2,2,1,"Yes"
"No","Rarely","College","Low","Medium","Entry","Very High","High","No stock","Best","HR","Technical","HR","Single",19,2,2564,1,1,1,0,0,"Yes"
"No","Never","Master","High","High","Experienced","Low","High","No stock","Better","Sales","Other","Sales Exe.","Married",30,22,8412,0,10,9,8,8,"No"
"No","Rarely","Bachelor","Low","Medium","Advanced","Very High","High","Few stocks","Good","Sales","Marketing","Manager","Divorced",57,29,14118,3,32,1,0,0,"No"
"No","Rarely","Master","Medium","Medium","Advanced","High","Medium","Few stocks","Better","R&D","Life Sciences","Manager","Married",50,29,17046,0,28,27,10,7,"No"
"No","Never","Bachelor","High","High","Entry","Very High","High","No stock","Good","R&D","Medical","Lab. Tech.","Single",30,2,2564,0,12,11,7,7,"No"
"No","Frequently","Bachelor","High","Medium","Experienced","Low","Very High","No stock","Best","Sales","Marketing","Sales Exe.","Married",60,28,10266,4,22,18,13,11,"No"
"No","Rarely","College","Low","High","Intermediate","Very High","High","Many stocks","Better","R&D","Medical","Manuf. Dir.","Divorced",47,2,5070,5,20,5,0,4,"No"
"No","Rarely","Bachelor","Low","High","Advanced","High","High","No stock","Bad","R&D","Life Sciences","Res. Dir.","Married",46,2,17861,6,26,3,2,1,"No"
"No","Rarely","Bachelor","Very High","Low","Entry","High","High","No stock","Better","R&D","Life Sciences","Lab. Tech.","Single",35,22,4230,0,6,5,4,3,"No"
"No","Rarely","Master","High","High","Intermediate","High","High","No stock","Better","R&D","Life Sciences","Lab. Tech.","Single",54,8,3780,7,19,1,0,0,"No"
"No","Rarely","Master","Very High","Medium","Entry","High","High","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Divorced",34,2,2768,3,14,7,3,7,"No"
"Yes","Rarely","Bachelor","High","Medium","Experienced","Very High","High","Few stocks","Better","Sales","Marketing","Sales Exe.","Married",46,10,9071,2,15,3,2,2,"No"
"No","Rarely","Below College","High","High","Experienced","Medium","Very High","Few stocks","Best","R&D","Life Sciences","Manuf. Dir.","Divorced",31,9,10648,1,13,13,8,8,"No"
"Yes","Rarely","Below College","Medium","High","Experienced","High","Very High","No stock","Best","R&D","Medical","Manager","Married",33,15,13610,7,15,7,6,7,"Yes"
"No","Rarely","Below College","Low","Low","Entry","Very High","Low","Many stocks","Better","R&D","Medical","Lab. Tech.","Divorced",33,10,3408,7,8,4,3,3,"Yes"
"No","Rarely","Below College","Very High","High","Entry","Medium","Low","No stock","Better","Sales","Marketing","Sales Repr.","Single",30,7,2983,0,4,3,2,2,"No"
"Yes","Rarely","Bachelor","Very High","High","Experienced","High","High","No stock","Better","R&D","Life Sciences","Health. Repr.","Married",35,16,7632,4,10,8,7,0,"No"
"No","Frequently","Bachelor","Low","High","Experienced","High","Low","No stock","Better","R&D","Life Sciences","Health. Repr.","Married",31,20,9824,3,12,1,0,0,"Yes"
"Yes","Frequently","Bachelor","Medium","High","Experienced","Low","High","Many stocks","Better","HR","HR","HR","Divorced",34,23,9950,9,11,3,2,2,"Yes"
"No","Frequently","College","Medium","High","Entry","High","Very High","Few stocks","Better","R&D","Other","Lab. Tech.","Married",42,5,2093,4,8,2,2,0,"No"
"No","Never","Master","Medium","High","Experienced","Very High","Very High","No stock","Good","Sales","Medical","Sales Exe.","Single",36,10,9980,1,10,10,3,7,"No"
"No","Frequently","Below College","High","Medium","Entry","High","High","No stock","Better","R&D","Technical","Lab. Tech.","Single",22,4,3894,5,4,2,2,2,"Yes"
"No","Rarely","Doctor","Medium","High","Intermediate","Very High","Low","Few stocks","Better","Sales","Marketing","Sales Exe.","Married",48,2,4051,2,14,9,7,7,"No"
"No","Rarely","Doctor","Low","High","Advanced","Medium","Very High","No stock","Better","Sales","Life Sciences","Manager","Single",55,18,16835,3,37,10,9,7,"No"
"No","Never","College","Very High","High","Intermediate","Very High","Very High","No stock","Better","Sales","Life Sciences","Sales Exe.","Single",41,10,6230,7,16,14,3,10,"No"
"No","Rarely","Bachelor","Medium","High","Intermediate","High","High","No stock","Better","Sales","Marketing","Sales Exe.","Married",35,1,4717,9,15,11,9,9,"No"
"No","Rarely","Bachelor","Medium","High","Advanced","High","High","No stock","Better","R&D","Life Sciences","Manuf. Dir.","Single",40,6,13237,7,22,20,6,13,"No"
"No","Frequently","Below College","High","High","Entry","High","Low","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",39,8,3755,1,8,8,3,7,"No"
"Yes","Rarely","Below College","Medium","High","Intermediate","Very High","High","No stock","Best","Sales","Life Sciences","Sales Exe.","Single",31,2,6582,4,10,6,5,5,"No"
"Yes","Rarely","Bachelor","Very High","High","Experienced","Low","Very High","Few stocks","Good","R&D","Medical","Manuf. Dir.","Married",42,24,7406,1,10,10,9,8,"No"
"No","Rarely","Bachelor","Very High","High","Intermediate","Medium","Medium","Few stocks","Best","Sales","Other","Sales Exe.","Married",45,2,4805,0,9,8,7,7,"No"
"Yes","Frequently","Master","Medium","High","Entry","High","Medium","Few stocks","Good","HR","Life Sciences","HR","Divorced",26,17,2741,0,8,7,7,0,"Yes"
"No","Rarely","Bachelor","Very High","High","Intermediate","Very High","Medium","Medium stocks","Best","R&D","Technical","Manuf. Dir.","Divorced",29,19,4262,4,8,3,2,2,"No"
"No","Rarely","Doctor","Low","Very High","Advanced","High","High","Few stocks","Better","R&D","Medical","Res. Dir.","Divorced",33,1,16184,4,10,6,1,5,"No"
"No","Rarely","Bachelor","High","Medium","Experienced","Very High","High","Few stocks","Good","Sales","Life Sciences","Manager","Divorced",31,7,11557,9,10,5,4,1,"No"
"Yes","Frequently","Bachelor","Medium","High","Entry","Medium","Very High","No stock","Better","Sales","Marketing","Sales Repr.","Single",18,5,1878,1,0,0,0,0,"Yes"
"No","Never","Bachelor","High","Low","Experienced","Low","High","Few stocks","Better","Sales","Other","Sales Exe.","Divorced",40,28,10932,3,20,1,0,1,"No"
"Yes","Never","Master","Low","Medium","Intermediate","High","Low","No stock","Better","R&D","Other","Health. Repr.","Single",41,2,6811,2,10,8,7,7,"No"
"No","Rarely","College","Low","High","Intermediate","High","Low","Medium stocks","Better","Sales","Medical","Sales Exe.","Divorced",26,29,4306,5,8,0,0,0,"No"
"No","Rarely","Bachelor","Low","High","Intermediate","High","Very High","No stock","Better","Sales","Medical","Sales Exe.","Single",35,1,4859,1,5,5,4,3,"No"
"No","Rarely","Master","Very High","Very High","Intermediate","Very High","Very High","No stock","Better","Sales","Life Sciences","Sales Exe.","Single",34,21,5337,1,10,10,7,7,"No"
"Yes","Rarely","Bachelor","High","Low","Entry","Very High","Medium","No stock","Bad","R&D","Technical","Lab. Tech.","Single",26,24,2340,1,1,1,0,0,"Yes"
"No","Rarely","Bachelor","Medium","High","Experienced","Very High","Very High","No stock","Best","R&D","Technical","Manuf. Dir.","Single",37,1,7491,4,12,6,5,2,"No"
"No","Frequently","Below College","Low","High","Experienced","High","Very High","No stock","Good","R&D","Medical","Health. Repr.","Married",46,18,10527,5,28,2,2,2,"No"
"No","Rarely","Doctor","Medium","High","Advanced","Low","Medium","Few stocks","Better","Sales","Life Sciences","Manager","Married",41,2,16595,7,22,18,16,8,"No"
"No","Never","Master","Low","High","Experienced","Medium","Very High","Few stocks","Better","Sales","Medical","Sales Exe.","Divorced",37,9,8834,1,9,9,5,7,"No"
"Yes","Rarely","College","Very High","High","Intermediate","Low","Medium","Medium stocks","Better","R&D","Technical","Res. Sci.","Divorced",52,6,5577,3,18,10,9,9,"No"
"No","Never","Master","Very High","Very High","Intermediate","High","Very High","No stock","Better","Sales","Other","Sales Exe.","Married",32,11,4707,8,6,4,2,2,"Yes"
"No","Frequently","Bachelor","Very High","High","Entry","Very High","High","Medium stocks","Better","Sales","Medical","Sales Repr.","Married",24,24,2400,0,3,2,2,1,"No"
"No","Rarely","Bachelor","High","High","Intermediate","High","High","Few stocks","Better","R&D","Medical","Health. Repr.","Married",38,10,9824,3,18,1,0,0,"No"
"No","Rarely","Master","Medium","High","Intermediate","Medium","Medium","Few stocks","Good","R&D","Life Sciences","Manuf. Dir.","Married",37,1,6447,6,8,6,5,3,"No"
"Yes","Rarely","Master","Very High","Medium","Expert","High","High","Few stocks","Better","R&D","Life Sciences","Res. Dir.","Divorced",49,18,19502,1,31,31,9,9,"No"
"Yes","Rarely","Bachelor","Medium","Very High","Entry","Very High","Medium","Medium stocks","Better","R&D","Medical","Res. Sci.","Married",24,23,2725,1,6,6,5,4,"No"
"No","Rarely","College","Low","High","Intermediate","Medium","Very High","Medium stocks","Best","Sales","Marketing","Sales Exe.","Married",26,28,6272,1,6,5,3,4,"No"
"No","Rarely","College","Very High","Medium","Entry","Medium","Very High","Few stocks","Better","R&D","Other","Lab. Tech.","Married",24,17,2127,1,1,1,0,0,"No"
"No","Frequently","Bachelor","Low","High","Expert","Medium","High","Few stocks","Better","HR","Medical","Manager","Married",50,3,18200,1,32,32,5,7,"No"
"No","Rarely","Below College","Medium","High","Entry","High","High","No stock","Better","Sales","Medical","Sales Repr.","Married",25,13,2096,1,7,7,4,6,"No"
"Yes","Frequently","Bachelor","Low","High","Entry","High","Very High","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",24,7,2886,1,6,6,3,2,"Yes"
"No","Frequently","Master","Medium","Medium","Entry","Low","High","Few stocks","Best","Sales","Life Sciences","Sales Repr.","Married",30,12,2033,1,1,1,0,0,"Yes"
"Yes","Rarely","College","Medium","Medium","Entry","Very High","Very High","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Married",34,1,3622,1,6,6,5,3,"No"
"No","Rarely","Master","Medium","High","Intermediate","Low","High","No stock","Bad","Sales","Medical","Sales Exe.","Divorced",31,13,4233,2,9,3,1,2,"Yes"
"No","Rarely","College","Low","Medium","Intermediate","Very High","Very High","No stock","Better","R&D","Other","Lab. Tech.","Single",35,25,3681,4,9,3,2,2,"No"
"No","Rarely","Master","Low","Very High","Intermediate","Very High","Very High","Medium stocks","Best","Sales","Medical","Sales Exe.","Divorced",31,6,5460,4,13,7,7,7,"No"
"No","Rarely","Master","Low","Medium","Entry","High","High","Medium stocks","Good","R&D","Medical","Res. Sci.","Divorced",27,6,2187,0,6,5,3,3,"No"
"Yes","Rarely","Bachelor","Very High","High","Intermediate","High","High","Few stocks","Good","Sales","Marketing","Sales Exe.","Married",37,2,9602,4,17,3,0,0,"No"
"No","Rarely","Bachelor","Very High","Medium","Entry","Medium","Very High","No stock","Best","R&D","Life Sciences","Res. Sci.","Single",20,1,2836,1,1,1,0,0,"No"
"No","Rarely","Master","High","High","Intermediate","Very High","Medium","Medium stocks","Better","R&D","Life Sciences","Health. Repr.","Married",42,2,4089,1,10,10,2,2,"No"
"Yes","Rarely","Master","Medium","Medium","Advanced","Very High","High","Few stocks","Good","R&D","Other","Res. Dir.","Divorced",43,6,16627,4,21,1,0,0,"No"
"No","Rarely","Below College","High","High","Entry","Low","Very High","No stock","Good","R&D","Life Sciences","Res. Sci.","Single",38,1,2619,3,8,0,0,0,"No"
"Yes","Frequently","Doctor","Very High","High","Intermediate","High","Medium","Few stocks","Better","R&D","Medical","Lab. Tech.","Divorced",43,9,5679,3,10,8,7,7,"No"
"No","Rarely","Master","Very High","Medium","Advanced","Low","Low","Few stocks","Bad","R&D","Life Sciences","Manager","Married",48,1,15402,7,21,3,2,2,"No"
"No","Rarely","Master","Low","Medium","Intermediate","High","Medium","No stock","Best","HR","Life Sciences","HR","Single",44,1,5985,4,10,2,2,2,"No"
"Yes","Rarely","Bachelor","High","High","Entry","High","Very High","Medium stocks","Better","Sales","Technical","Sales Repr.","Divorced",34,14,2579,1,8,8,2,6,"No"
"No","Rarely","Below College","High","High","Entry","Low","Medium","Few stocks","Better","Sales","Marketing","Sales Repr.","Divorced",27,2,3041,0,5,4,3,2,"Yes"
"No","Rarely","Below College","High","High","Entry","High","High","No stock","Better","Sales","Technical","Sales Repr.","Single",21,22,3447,1,3,3,2,2,"No"
"Yes","Rarely","Master","Very High","High","Expert","Very High","Low","Few stocks","Best","R&D","Other","Manager","Married",44,3,19513,4,26,2,2,1,"No"
"No","Rarely","Below College","Low","High","Entry","High","Very High","No stock","Better","R&D","Medical","Res. Sci.","Married",22,6,2773,0,3,2,2,2,"No"
"No","Rarely","Master","High","High","Intermediate","High","Very High","No stock","Better","Sales","Marketing","Sales Exe.","Divorced",33,8,7104,0,6,5,0,2,"No"
"Yes","Rarely","Master","Low","High","Intermediate","Very High","Very High","Few stocks","Good","R&D","Life Sciences","Res. Sci.","Married",32,9,6322,1,6,6,4,5,"No"
"No","Frequently","Bachelor","High","High","Entry","High","High","Few stocks","Better","R&D","Medical","Res. Sci.","Divorced",30,3,2083,1,1,1,0,0,"No"
"No","Rarely","Below College","Very High","High","Intermediate","Low","Very High","No stock","Best","Sales","Medical","Sales Exe.","Single",53,1,8381,7,18,14,7,10,"No"
"No","Rarely","Doctor","Medium","High","Entry","Very High","Very High","Few stocks","Good","R&D","Life Sciences","Res. Sci.","Married",34,1,2691,1,10,10,9,8,"No"
"No","Frequently","Master","Low","High","Intermediate","Low","Very High","Medium stocks","Better","Sales","Life Sciences","Sales Exe.","Married",45,26,4286,2,5,1,1,0,"Yes"
"Yes","Rarely","Bachelor","High","High","Entry","Very High","High","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",26,6,2659,1,3,3,2,2,"No"
"No","Rarely","Bachelor","High","High","Experienced","High","High","Few stocks","Better","R&D","Other","Manuf. Dir.","Married",37,3,9434,1,10,10,7,8,"No"
"No","Rarely","College","Medium","High","Intermediate","High","Low","Few stocks","Good","Sales","Medical","Sales Exe.","Married",29,3,5561,1,6,6,0,2,"No"
"No","Rarely","Master","Medium","Low","Intermediate","Very High","Medium","No stock","Better","R&D","Life Sciences","Res. Sci.","Single",35,6,6646,1,17,17,11,8,"No"
"No","Frequently","Bachelor","High","High","Intermediate","Very High","High","Few stocks","Bad","R&D","Life Sciences","Health. Repr.","Divorced",33,6,7725,3,15,13,11,7,"No"
"No","Rarely","Master","High","High","Experienced","Medium","High","Few stocks","Best","HR","Medical","HR","Married",54,19,10725,2,16,9,7,1,"No"
"Yes","Rarely","College","Medium","Medium","Intermediate","Medium","High","Few stocks","Better","R&D","Medical","Manuf. Dir.","Divorced",36,9,8847,2,13,3,2,2,"No"
